fuel,measured,year,data
Domači lignit (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2001,
Domači lignit (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2001,
Domači lignit (1000 t),Končna poraba - promet,2001,
Domači lignit (1000 t),"Končna poraba - promet, od tega železniški",2001,
Domači lignit (1000 t),Končna poraba - skupaj,2001,27.000
Domači lignit (1000 t),Kurilnost,2001,10650.000
Domači lignit (1000 t),Medn. pomorska skladišča,2001,
Domači lignit (1000 t),Neenergetska raba,2001,
Domači lignit (1000 t),Oskrba - skupaj,2001,4010.000
Domači lignit (1000 t),Proizvodnja,2001,3448.000
Domači lignit (1000 t),Sprememba zalog,2001,562.000
Domači lignit (1000 t),Transformacija,2001,3983.000
Domači lignit (1000 t),Uvoz,2001,
Domači rjavi premog (1000 t),Izvoz,2001,
Domači rjavi premog (1000 t),Končna poraba - drugi porabniki,2001,
Domači rjavi premog (1000 t),Končna poraba - energetski sektor,2001,
Domači rjavi premog (1000 t),Končna poraba - gospodinjstva,2001,4.000
Domači rjavi premog (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2001,
Domači rjavi premog (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2001,
Domači rjavi premog (1000 t),Končna poraba - promet,2001,
Domači rjavi premog (1000 t),"Končna poraba - promet, od tega železniški",2001,
Domači rjavi premog (1000 t),Končna poraba - skupaj,2001,4.000
Domači rjavi premog (1000 t),Kurilnost,2001,10660.000
Domači rjavi premog (1000 t),Medn. pomorska skladišča,2001,
Domači rjavi premog (1000 t),Neenergetska raba,2001,
Domači rjavi premog (1000 t),Oskrba - skupaj,2001,728.000
Domači rjavi premog (1000 t),Proizvodnja,2001,685.000
Domači rjavi premog (1000 t),Sprememba zalog,2001,43.000
Domači rjavi premog (1000 t),Transformacija,2001,724.000
Domači rjavi premog (1000 t),Uvoz,2001,
Ekstra lahko kurilno olje (1000 t),Izvoz,2001,-47.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - drugi porabniki,2001,342.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - energetski sektor,2001,
Ekstra lahko kurilno olje (1000 t),Končna poraba - gospodinjstva,2001,313.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2001,
Ekstra lahko kurilno olje (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2001,86.000
Ekstra lahko kurilno olje (1000 t),Končna poraba - promet,2001,
Ekstra lahko kurilno olje (1000 t),"Končna poraba - promet, od tega železniški",2001,
Ekstra lahko kurilno olje (1000 t),Končna poraba - skupaj,2001,741.000
Ekstra lahko kurilno olje (1000 t),Kurilnost,2001,42600.000
Ekstra lahko kurilno olje (1000 t),Medn. pomorska skladišča,2001,
Ekstra lahko kurilno olje (1000 t),Neenergetska raba,2001,
Ekstra lahko kurilno olje (1000 t),Oskrba - skupaj,2001,766.000
Ekstra lahko kurilno olje (1000 t),Proizvodnja,2001,
Ekstra lahko kurilno olje (1000 t),Sprememba zalog,2001,26.000
Ekstra lahko kurilno olje (1000 t),Transformacija,2001,25.000
Ekstra lahko kurilno olje (1000 t),Uvoz,2001,787.000
Koks (1000 t),Izvoz,2001,
Koks (1000 t),Končna poraba - drugi porabniki,2001,
Koks (1000 t),Končna poraba - energetski sektor,2001,
Koks (1000 t),Končna poraba - gospodinjstva,2001,
Koks (1000 t),Končna poraba - kmetijstvo in gozdarstvo,2001,
Koks (1000 t),Končna poraba - predelovalne dejavnosti in gradbeništvo,2001,60.000
Koks (1000 t),Končna poraba - promet,2001,
Koks (1000 t),"Končna poraba - promet, od tega železniški",2001,
Koks (1000 t),Končna poraba - skupaj,2001,60.000
Koks (1000 t),Kurilnost,2001,29322.000
Koks (1000 t),Medn. pomorska skladišča,2001,
