supply_and_consumption,year,energy_source,data
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,"Geoterm., sončna itd.",-38.5344
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Hidro energija,-16068.0888
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Naftni proizvodi,-47.37120000000001
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Nuklearna energija,-57813.98181818183
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Obnovljivi viri in odpadki,-9.4833
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Surova nafta,
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Toplota,
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Trdna goriva,-5636.968275
Transformacija-elektrarne-proizvajalci po glavni dejavnosti,2013,Zemeljski plin,-56.36832
Transformacija-elektrarne-samoproizvajalci,2013,Električna energija,1093.716
Transformacija-elektrarne-samoproizvajalci,2013,Energetski viri-SKUPAJ,-164.9394479999999
Transformacija-elektrarne-samoproizvajalci,2013,"Geoterm., sončna itd.",-750.8915999999999
Transformacija-elektrarne-samoproizvajalci,2013,Hidro energija,-328.5252
Transformacija-elektrarne-samoproizvajalci,2013,Naftni proizvodi,0
Transformacija-elektrarne-samoproizvajalci,2013,Nuklearna energija,
Transformacija-elektrarne-samoproizvajalci,2013,Obnovljivi viri in odpadki,-73.355
Transformacija-elektrarne-samoproizvajalci,2013,Surova nafta,
Transformacija-elektrarne-samoproizvajalci,2013,Toplota,
Transformacija-elektrarne-samoproizvajalci,2013,Trdna goriva,-105.883648
Transformacija-elektrarne-samoproizvajalci,2013,Zemeljski plin,0
Transformacija-elektrarne-skupaj,2013,Električna energija,39366.9648
Transformacija-elektrarne-skupaj,2013,Energetski viri-SKUPAJ,-41831.92156118184
Transformacija-elektrarne-skupaj,2013,"Geoterm., sončna itd.",-789.4259999999999
Transformacija-elektrarne-skupaj,2013,Hidro energija,-16666.0488
Transformacija-elektrarne-skupaj,2013,Naftni proizvodi,-47.37120000000001
Transformacija-elektrarne-skupaj,2013,Nuklearna energija,-57813.98181818183
Transformacija-elektrarne-skupaj,2013,Obnovljivi viri in odpadki,-82.8383
Transformacija-elektrarne-skupaj,2013,Surova nafta,0
Transformacija-elektrarne-skupaj,2013,Toplota,0
Transformacija-elektrarne-skupaj,2013,Trdna goriva,-5742.851923
Transformacija-elektrarne-skupaj,2013,Zemeljski plin,-56.36832
Transformacija-plinarne,2013,Električna energija,
Transformacija-plinarne,2013,Energetski viri-SKUPAJ,0
Transformacija-plinarne,2013,"Geoterm., sončna itd.",
Transformacija-plinarne,2013,Hidro energija,
Transformacija-plinarne,2013,Naftni proizvodi,
Transformacija-plinarne,2013,Nuklearna energija,
Transformacija-plinarne,2013,Obnovljivi viri in odpadki,
Transformacija-plinarne,2013,Surova nafta,
Transformacija-plinarne,2013,Toplota,
Transformacija-plinarne,2013,Trdna goriva,
Transformacija-plinarne,2013,Zemeljski plin,
Transformacija-predelava premoga,2013,Električna energija,
Transformacija-predelava premoga,2013,Energetski viri-SKUPAJ,0
Transformacija-predelava premoga,2013,"Geoterm., sončna itd.",
Transformacija-predelava premoga,2013,Hidro energija,
Transformacija-predelava premoga,2013,Naftni proizvodi,
Transformacija-predelava premoga,2013,Nuklearna energija,
Transformacija-predelava premoga,2013,Obnovljivi viri in odpadki,
Transformacija-predelava premoga,2013,Surova nafta,
Transformacija-predelava premoga,2013,Toplota,
Transformacija-predelava premoga,2013,Trdna goriva,
Transformacija-predelava premoga,2013,Zemeljski plin,
Transformacija-rafinerije,2013,Električna energija,
Transformacija-rafinerije,2013,Energetski viri-SKUPAJ,0
Transformacija-rafinerije,2013,"Geoterm., sončna itd.",
Transformacija-rafinerije,2013,Hidro energija,
Transformacija-rafinerije,2013,Naftni proizvodi,
Transformacija-rafinerije,2013,Nuklearna energija,
Transformacija-rafinerije,2013,Obnovljivi viri in odpadki,
Transformacija-rafinerije,2013,Surova nafta,
Transformacija-rafinerije,2013,Toplota,
Transformacija-rafinerije,2013,Trdna goriva,
Transformacija-rafinerije,2013,Zemeljski plin,
Transformacija-skupaj,2013,Električna energija,57970.908
Transformacija-skupaj,2013,Energetski viri-SKUPAJ,-71505.88033318185
Transformacija-skupaj,2013,"Geoterm., sončna itd.",-867.4259999999999
Transformacija-skupaj,2013,Hidro energija,-16666.0488
Transformacija-skupaj,2013,Naftni proizvodi,-329.01075
Transformacija-skupaj,2013,Nuklearna energija,-57813.98181818183
Transformacija-skupaj,2013,Obnovljivi viri in odpadki,-3555.1643
Transformacija-skupaj,2013,Surova nafta,0
Transformacija-skupaj,2013,Toplota,9428.297999999999
Transformacija-skupaj,2013,Trdna goriva,-53655.199305
