Year,1,2,3,4,5,6,7,8,9,10,11,12
2006,270.0115687872773,272.7050643473754,276.37790502606595,283.37975051749464,287.0697696203038,291.56709766877,295.17941491164083,289.97342645914915,289.56979975252074,285.4625883015648,280.36117462419037,276.29880300920985
2007,277.00302424403236,277.9418764219179,280.14291164754735,285.86378121661323,289.03619339330027,292.5991825984074,293.7182238809918,292.17409394850307,286.4879846034906,282.1424131180453,277.256350134173,272.98738828900434
2008,275.4103864317989,276.1649080493075,278.2422742062703,282.7483723697499,288.54951940241483,292.0441620394715,293.08640467893787,292.71112254910275,287.1151595678085,284.29366797864486,278.95945844079694,274.8224917680788
2009,271.76985972414735,274.64245594290145,278.51018446550773,285.25055424616886,289.5037033548032,290.48264311439976,293.3183304224259,293.7229777321133,289.57221444936897,283.20330189593676,279.81511355669073,274.26252102911025
2010,270.91425292564884,273.64622251629396,277.9642242103494,283.2349206647302,287.3089858844716,291.74621647239746,294.63855649381753,292.02468609553523,286.80998490814466,281.5392125132065,280.12921061719584,272.4246299623753
2011,273.81843719608634,273.87945676810574,278.7110425067204,285.2049292670356,288.3915210152776,291.72202524038465,292.5292385659797,294.14035059421684,291.3571824815539,282.36490766779264,276.6779320089226,275.69873357351605
2012,273.55831126677685,269.9422001262288,281.38277612627786,283.2948850974058,287.76509999163983,292.9715139014089,294.23855853337113,294.63896061823914,289.12304439707697,283.7020178858754,280.8137554722973,273.25228778343734
2013,273.7950469238685,273.05858338184845,275.95976723039126,283.9540949373164,286.85478469179714,291.2773764325004,294.88708930256155,293.93120850720027,288.1303681724092,285.05473831214624,279.33400904989657,275.66766054517876
2014,277.11130540719984,277.15430022858004,281.4865388957009,284.7559177496494,287.0129005299608,291.4876604911608,292.6655018745718,291.45677792128697,288.1702784350794,285.6523935524662,281.50032126923907,275.84941094763724
2015,275.1491771663291,274.35898925445895,279.19933271763045,283.4343992314787,288.45742174374163,292.0815984481421,295.5288797509482,294.229495519444,288.5266233004056,283.1075879168767,279.5474452874599,275.7608016071683
2016,273.499515454566,277.79932590806004,279.1500020748924,284.2400010589861,287.2273259947771,291.6733836377788,294.39575682483104,292.31038456893936,290.08494993030513,282.59049125778665,279.0541665623331,273.22653546581785
2017,269.03513706607987,276.65326813638427,281.8042261014801,283.50635764619227,288.54641158212,293.4283029148721,294.4562160596067,294.7788497129682,286.7030604696681,283.92316486620535,278.28713579748427,274.5427038099669
2018,276.9056803385416,271.85939914577614,276.5362033891323,286.8394889375084,289.90581043581017,292.2489422659589,293.71415588025525,294.53023451433586,289.55528786162023,285.32760137994984,280.2336486033904,274.7382191294378
2019,273.00595244225434,276.9732379005069,280.7495852486963,283.6298606155266,284.8901762224802,294.7786810720069,294.1345572522892,294.25103224635217,288.9407431578025,285.35802215500445,280.8454023833968,276.420399226464
2020,274.31278783452717,278.63319651285804,279.2499433064678,284.3688609848675,287.07697807924126,291.04183537409864,293.08649875587224,294.00514532930106,289.4421885172526,283.8413800286103,277.9545474843082,275.48851032115095
2021,273.6365652029134,277.41585741986285,278.37549469271806,280.85549814599193,285.5788017380227,293.9296493399856,294.6685809189865,292.3695348545576,289.33425329485516,282.2874129605353,278.5054766532702,274.33645793955804
2022,273.8066962078843,276.99358415428975,277.9304407212831,282.0937481219952,289.5356586667701,294.10120745275776,295.28626879115455,294.5226352335107,288.13127689198546,286.53461092182977,279.8813595763639,275.9490174198072
2023,276.0239724789502,275.31037818992525,280.1792026516619,281.7848697499332,287.55362667970365,292.22672713842144,294.2929117788058,293.55825409364655,291.1426130506727,287.2714328055938,279.2615126389724,276.3975519601523
2024,274.16006876122765,,,,,,,,,,,
